ID ,Saldo
129291,"1,972,037.10"
129352,"192,706.96"
129353,"192,706.96"
129364,"2,710,554.31"
129369,"798,483.76"
129390,"679,209.22"
129391,"249,648.66"
129404,"239,480.38"
129893,"20,019,236.02"
129896,"643,958.48"
129897,"273,096.00"
129914,"386,715.04"
129915,"362,458.54"
129927,"142,894.82"
129928,"971,635.54"
129929,"61,341.73"
129930,"92,329.63"
129940,"1,395,691.98"
129945,"164,756.83"
129947,"255,894.74"
129953,"119,122.08"
129957,"180,512.53"
129958,"53,289.14"
129963,"275,111.38"
129964,"191,095.88"
129965,"107,571.03"
129967,"372,713.88"
129968,"351,021.92"
129970,"1,925,768.29"
129972,"318,760.59"
129975,"22,347.30"
129979,"872,181.65"
129980,"260,868.29"
129986,"433,351.07"
129987,"126,444.38"
129989,"2,149,277.07"
129990,"181,525.00"
129991,"46,732.87"
129992,"219,636.77"
129993,"297,536.84"
129999,"72,061.40"
130000,"378,216.30"
130001,"302,237.01"
130002,"487,381.65"
130003,"2,645,625.21"
130004,"728,594.26"
130006,"46,454.28"
130009,"154,915.34"
130012,"906,352.12"
130016,"121,296.03"
130018,"253,621.22"
130021,"170,840.65"
130022,"107,079.82"
130024,"408,333.89"
130025,"262,480.42"
130026,"74,132.41"
130027,"869,389.16"
130030,"172,066.11"
130032,"370,814.26"
130033,"521,730.44"
130034,"432,955.20"
130037,"255,088.03"
130038,"687,699.41"
130039,"246,966.59"
130041,"292,273.34"
130043,"113,624.95"
130058,"31,557.59"
130059,"204,865.12"
130060,"182,181.83"
130062,"178,487.58"
130063,"395,734.49"
130066,"1,734,935.87"
130067,"142,255.45"
130068,"1,132,272.45"
130070,"32,657.58"
130071,"126,318.62"
130073,"898,168.51"
130075,"36,167.77"
130076,"60,553.45"
130077,"361,641.07"
130078,"514,682.28"
130079,"315,526.93"
130081,"344,858.86"
130082,"147,426.35"
130084,"948,237.78"
130085,"162,776.00"
130086,"136,150.27"
130088,"443,330.48"
130089,"125,809.50"
130090,"79,871.94"
130092,"147,190.72"
130093,"262,874.29"
130094,"445,324.73"
130095,"183,478.61"
130096,"374,713.63"
130097,"1,315,261.29"
130103,"772,051.13"
130106,"196,400.77"
130107,"55,533.60"
130108,"855,551.72"
130113,"132,536.44"
130115,"1,586,149.53"
130117,"442,566.42"
130118,"130,156.01"
130120,"133,671.77"
130122,"592,250.47"
130124,"55,372.73"
130125,"287,369.65"
130126,"180,859.08"
130127,"101,484.34"
130128,"1,669,988.40"
130129,"415,510.35"
130130,"45,454.83"
130131,"421,197.32"
130132,"328,686.80"
130133,"101,625.72"
130134,"306,788.20"
130135,"314,355.30"
130136,"274,134.16"
130137,"238,346.66"
130139,"983,651.61"
130140,"1,712,066.74"
130141,"843,950.33"
130143,"231,439.43"
130145,"145,800.04"
130163,"248,025.29"
130164,"612,414.24"
130165,"205,574.57"
130167,"365,371.24"
130168,"215,445.14"
130170,"252,554.41"
130171,"1,618,336.97"
130172,"792,277.98"
130173,"78,125.43"
130174,"288,536.06"
130175,"282,896.20"
130176,"603,222.03"
130177,"227,608.83"
130178,"96,003.96"
